catalog_release,demo_id,name,payload_sha256,payload_permission_evidence,artwork_permission_evidence,source_delivery_evidence,status,review_note
26R2-catalog-2,abiword-2015,Abiword (2015),84c0ca13d545fdd5b3458f92371371bb16b5dda33dcfd77bceed1f013d388ab7,,,,pending,"Check exact code license and corresponding source separately from assets, fonts, game data, and icon rights."
26R2-catalog-2,age-of-empires,Age of Empires demo (1997),e577547874e4d0e91ead3b620ec528e8dcf917aebb64c6def2c63be74f12781e,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,alice,American McGee's Alice (2000),b39ce027fa9fbb96e577adc7d54374ede7906005807c87b347b4bd9602b8866f,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,bang-bang,Bang! Bang! shareware (1990),9bf2c560ee5e24e68f605d368647cf3eefddd8e080964560ec53e58d98b173d0,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,basstour-professional,BassTour Professional shareware (1998),cd92d47a1d0257d783a8972d18e46da6ca1194d51a43d00ebe00f17270d165cc,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,broken-sword,Broken Sword demo (1996),af8674f8a8e0b83123ab82647bcb4d6d8b55a5e3ae8a6f736b5c95f30371c988,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,caesar-3,Caesar 3 demo (1998),22975a9acd6232e70ea76ecea92869b6546c7ab01cd9f1b5af5a2ddd74293994,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,castle-of-the-winds,Castle of the Winds (1992),e1880cc02a82d6081ab2dbf37764cccf799a273a3593373b8f77b7187665c0c4,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,cinebench-11-5,Cinebench 11.5 (2010),08098a75ebd9603cfa25083c3707799ce61e308b254926bf28cb400f0351bccf,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,cities-in-motion,Cities In Motion demo (2011),2afad227537cd17718e9240ec59fe8720aa2dea907017f14a62073ad943c4fa1,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse. Catalog icon was extracted from the installed EXE; extraction does not itself establish redistribution permission."
26R2-catalog-2,daytona-usa,Daytona USA demo (1996),4adda1ce980adac89ed6059e18ca8e1528e90d4fa4a1db61c0129ecc498b2505,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,deadlock,Deadlock demo (1996),3455638976ff35aa4a2d928ec606194b96f5bde96886616a38465d94a8fd1f27,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,descent-3-demo-2,Descent 3 demo 2 (1998),c0d708eddc382ebf7d5fc7046720680a9c317a9e72e54a00c3d3e6f1d6123708,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,diablo-ii,Diablo II Shareware (2000),89352716523e474514553e2092a1ae9349c5c7ff9e79c7861dd65fe19be88b61,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,drowned-god,Drowned God demo (1996),427f700d938c02b2cafdad788b62f6d4896d17f66959bafa927aa0a950dbd12a,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,f-16-multirole-fighter,F-16 Multirole Fighter demo (1998),5571e18f38127ee5b2fddddfbfc34629841bdb2dc40f7e2136027166bd25b015,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,f-22-raptor,F-22 Raptor demo (1997),3626c7bd02f24beb7e7fd0fc56983a7fd45c0994ea915755795092b9228c09f0,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,fire-fight,Fire Fight demo (1996),c179ff40e412d598cb93fbcbed8923981a2b727fcade90dc2a3869d7c7cfa67d,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-1,freecol-1-2,Free Colonization 1.2 (2024),75e51de3c4ae6f827807812adf0de43ddf064bd4c33905daf9755d48e4c794bd,,,,excluded,Removed from native catalog 26R2-catalog-2 with dedicated Java support; not proposed for this native release.
26R2-catalog-2,full-tilt-pinball,Full Tilt! Pinball Demo (1995),3fe21c974d6eaf3cb1cd1572672d46b700bbc3bbbf40ffed941a64197f7505df,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,half-life-uplink,Half-Life: Uplink demo (1999),9f236e9785980c127d46870a828ba4dac756308767ebd498b85bd7edff3305a8,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-1,java-solitaire,Java Solitaire (2007),c09520619e1b487a140373193005aacd158c413bcdad523b2329893476c43661,,,,excluded,Removed from native catalog 26R2-catalog-2 with dedicated Java support; not proposed for this native release.
26R2-catalog-2,mdk-performance,MDK Performance (1999),cc0580046cf8a3ef4740dedfce44b1c1f69e62d66aa5c62f69541fb7a263ebb3,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,mechwarrior-3,Mech Warrior 3 demo (1999),97feaf6f835a69a73d2182ee58294579b0dcc815cc50e018c1b0e6bf5ddc9828,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
26R2-catalog-2,motorhead-3dfx,Motorhead 3Dfx demo (1998),aaf5a3bef2b4bb7bda493faabcb3ce631b9f3fb49e20f45a60a693ea7f25b755,,,,pending,"Check exact payload EULA/readme, commercial redistribution, original packaging, bundled extras, and icon reuse."
